,Period,Price,Type,Location,Property Ref,Added On,Last Updated,Market Status,Parking Spaces,Bedrooms,Bathrooms,Toilets,   ,Servicing,Service Charge,Total Area,Covered Area,Furnishing
0, per day,"60,000", Conference / Meeting / Training Room," Kado, Abuja", 638818, 05 Jun 2020, 04 Mar 2022, Available, 10,,,,,,,,,
1, per annum,"2,700,000", Semi-detached Duplex," Mobil Road, Ajah, Lagos", 1310903, 06 May 2022, 06 May 2022, Available, 3, 4, 4, 5,,,,,,
2, per annum,"1,400,000", Flat / Apartment," Ikota Royal Estate, Lekki, Lagos", 1310899, 06 May 2022, 06 May 2022, Available,, 2, 2,, ,,,,,
3, per annum,"4,500,000", Semi-detached Duplex," Orchid, Lekki, Lagos", 1310883, 06 May 2022, 06 May 2022, Available,, 4, 4, 4, ,,,,,
4, per annum,"3,500,000", Flat / Apartment," Wuye, Wuye, Abuja", 1310881, 06 May 2022, 06 May 2022, Available, 5, 3, 4, 4,,,,,,
5, per annum,"3,000,000", Terraced Duplex," Gwarinpa, Abuja", 1310851, 06 May 2022, 06 May 2022, Available, 3, 4, 4, 5, , Serviced," ₦15,000 per month",,,
6, per annum,"2,000,000", Flat / Apartment," 2nd Avenue, Gwarinpa, Abuja", 1310849, 06 May 2022, 06 May 2022, Available,, 2, 2, 3, ,,,,,
7, per annum,"800,000", Flat / Apartment," Gabriel Ave Opposite Naf Harmony Estate Rukpakulusi, Rukpakulusi, Port Harcourt, Rivers", 1310848, 06 May 2022, 06 May 2022, Available, 8, 2, 3, 3, ,,, 466 sqm, 359 sqm,
8, per annum,"8,000,000", Flat / Apartment," Guzape District, Abuja", 984095, 22 Jun 2021, 06 Apr 2022, Available, 3, 3, 3, 4, , Serviced,,,, Furnished
9, per annum,"3,500,000", Terraced Duplex," Orchid Road, Lekki, Lagos", 1310835, 06 May 2022, 06 May 2022, Available, 3, 4, 4, 5,,,,,,
10, per annum,"2,500,000", Flat / Apartment," By Gilmore, Jahi, Abuja", 1309952, 05 May 2022, 05 May 2022, Available, 2, 2, 2, 3, , Serviced," ₦500,000 per annum",,,
11, per annum,"2,500,000", Flat / Apartment," Inside Chevy View Estate, Lekki, Lagos", 1310208, 05 May 2022, 05 May 2022, Available, 2, 3, 3, 3,,,,,,
12, per annum,"6,000,000", Semi-detached Duplex," Inside Chevy View Estate, Lekki, Lagos", 1310139, 05 May 2022, 05 May 2022, Available, 5, 4, 5, 5,,,,,,
13, per annum,"3,500,000", Terraced Duplex," Ikota Primary Sch, Lekki, Lagos", 1310063, 05 May 2022, 05 May 2022, Available, 3, 4, 5, 5, , Serviced," ₦40,000 per month",,,
14, per annum,"5,000,000", Terraced Duplex," Asokoro District, Abuja", 1309707, 05 May 2022, 05 May 2022, Available,, 4, 5, 5, , Serviced," ₦500,000 ",,,
15, per square meter / per annum,"40,000", Office Space," Herbert Macaulay Way, Central Business District, Abuja", 1235981, 22 Feb 2022, 26 Apr 2022, Available, 1,, 2, 2,, Serviced," ₦11,000 per annum", 600 sqm, 500 sqm,
16, per annum,"4,000,000", Detached Duplex," Ikota Villa Behind Mega Chicken, Lekki, Lagos", 1310832, 05 May 2022, 05 May 2022, Available, 5, 4, 4, 5, ,,, 600 sqm, 400 sqm,
17, per annum,"15,000,000", House," Utako, Abuja", 1310827, 05 May 2022, 05 May 2022, Available, 5, 5, 6, 6, , Serviced," ₦1,500,000 per annum", 500 sqm, 500 sqm, Furnished
18, per annum,"2,500,000", Detached Bungalow," Garki 2, Garki, Abuja", 1310813, 05 May 2022, 05 May 2022, Available, 10, 2, 2, 3,,,,,,
