,Period,Price,Type,Location,Property Ref,Added On,Last Updated,Market Status,Bedrooms,Bathrooms,Toilets,   ,Parking Spaces,Servicing,Service Charge,Total Area,Covered Area,Furnishing
0, per annum,"8,000,000", Terraced Duplex," Oniru, Victoria Island (VI), Lagos", 1243809, 02 Mar 2022, 11 Apr 2022, Available, 5, 5, 6, ,,,,,,
1, per annum,"3,500,000", Terraced Duplex," Ikota Primary Sch, Lekki, Lagos", 1310063, 05 May 2022, 05 May 2022, Available, 4, 5, 5, , 3, Serviced," ₦40,000 per month",,,
2, per annum,"5,000,000", Terraced Duplex," Asokoro District, Abuja", 1309707, 05 May 2022, 05 May 2022, Available, 4, 5, 5, ,, Serviced," ₦500,000 ",,,
3, per square meter / per annum,"40,000", Office Space," Herbert Macaulay Way, Central Business District, Abuja", 1235981, 22 Feb 2022, 26 Apr 2022, Available,, 2, 2,, 1, Serviced," ₦11,000 per annum", 600 sqm, 500 sqm,
4, per annum,"5,000,000", Terraced Duplex," Gated And Secured Area, Jakande, Lekki, Lagos", 1310218, 05 May 2022, 05 May 2022, Available, 4, 4, 5, , 3,,, 300 sqm, 200 sqm,
5, per annum,"3,000,000", Flat / Apartment," Osapa London, Osapa, Lekki, Lagos", 1296740, 21 Apr 2022, 21 Apr 2022, Available, 3, 3, 4, , 2, Serviced," ₦540,000 per annum",,,
6, per annum,"4,500,000", Semi-detached Duplex," Ikota, Lekki, Lagos", 1284478, 08 Apr 2022, 05 May 2022, Available, 4, 4, 5,, 3,,,,,
7, per annum,"6,500,000", Semi-detached Duplex," Richmond Estate, Ikate Elegushi, Lekki, Lagos", 1310210, 05 May 2022, 05 May 2022, Available, 4, 4, 6,, 3, Serviced, ₦650 per annum, 300 sqm,,
8, per annum,"4,000,000", Semi-detached Duplex," Chevron 2nd Toll Gate, Lekki, Lagos", 1310196, 05 May 2022, 05 May 2022, Available, 4, 4, 5, , 3, Serviced," ₦40,000 per month",,,
9, per annum,"7,000,000", Flat / Apartment," Oniru, Victoria Island (VI), Lagos", 1310192, 05 May 2022, 05 May 2022, Available, 2, 2, 3, , 1, Serviced," ₦1,000,000 ",,,
10, per annum,"9,000,000", Flat / Apartment," Old Ikoyi, Old Ikoyi, Ikoyi, Lagos", 1246582, 04 Mar 2022, 05 May 2022, Available, 3, 3, 4, , 2, Serviced," ₦3,500,000 per annum",,,
11, per annum,"750,000", Mini Flat (Room and Parlour)," Abraham Adesanya Estate, Ajah, Lagos", 1310186, 05 May 2022, 05 May 2022, Available, 1, 2, 2,, 1,,,,,
12, per annum,"1,200,000", Flat / Apartment," Gra, Asaba, Delta", 1310178, 05 May 2022, 05 May 2022, Available, 2, 2, 3,, 2,,,,,
13, per annum,"12,000,000", Flat / Apartment," Banana Island Estate, Banana Island, Ikoyi, Lagos", 1253262, 10 Mar 2022, 05 May 2022, Available, 3, 3, 4, , 2, Serviced," ₦4,000,000 per annum",,,
14, per annum,"1,500,000", Self Contain (Single Rooms)," Off Ibb Boulevard, Maitama District, Abuja", 1310095, 05 May 2022, 05 May 2022, Available,,, 1, ,,,,,, Furnished
15, per annum,"30,000,000", Semi-detached Duplex," Off Adeyemi Lawson Street, Ikoyi, Lagos", 1310172, 05 May 2022, 05 May 2022, Available, 5, 5, 6, ,,,,,,
16, per annum,"100,000", Flat / Apartment," Old Ikoyi, Ikoyi, Lagos", 1257263, 14 Mar 2022, 05 May 2022, Available, 3, 3, 4, , 2, Serviced," ₦6,000,000 per annum",,,
